name,desc,archived_date
Dick's handwritten items corrections,,2024-12-10T20:23:11.718Z
Jim Western Rural Development Center Software Recommendation for USGS Extension Site,,2024-12-05T22:59:06.642Z
ENEWS VERSO Presentation,- Build out site and slides,2024-11-27T01:04:55.276Z
Creating Aerial Timelines Short Talk,"- Update banner and slides
- fill out script a bit
- noopener links",2024-10-18T21:43:31.631Z
"Set up meeting with Barbara, Erin and Jeremy",,2024-10-10T03:26:55.810Z
Update CALS presentation,"[https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing](https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing ""smartCard-inline"")",2024-10-04T19:16:02.183Z
HIST320 Presentation,"- Banner image and slide deck
- [https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e](https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e ""smartCard-inline"")",2024-09-21T02:05:15.802Z
Make GIF template for advertising digital collections,,2024-09-20T18:44:20.341Z
WWAMI PDF stuff,"[https://docs.google.com/spreadsheets/d/1QD64WXEtKxB8rGPUwooZgINQDYvG7G26JTgNUam-kPQ/edit?gid=723125995#gid=723125995](https://docs.google.com/spreadsheets/d/1QD64WXEtKxB8rGPUwooZgINQDYvG7G26JTgNUam-kPQ/edit?gid=723125995#gid=723125995 ""smartCard-inline"")",2024-09-16T20:34:14.800Z
"Kuhl, Joseph Book request fulfilled",,2024-08-29T23:06:07.008Z
Andrea Dutto Renfrew Meeting,,2024-08-21T17:08:26.200Z
Zeutschel Tutorial 08082024,,2024-08-21T17:07:30.913Z
Add additional 6 images to drive,,2024-08-14T23:42:52.099Z
Kelley CB tutorial 08132024,,2024-08-13T20:56:27.575Z
OpenCV Image Identification and Separation Tool,erase that giant ee packet while you are at it,2024-08-10T00:48:24.223Z
Digital Collection Docs Issues,"[https://github.com/uidaholib/digital-collections-docs/issues](https://github.com/uidaholib/digital-collections-docs/issues ""smartCard-inline"")

- [https://uidaholib.github.io/digital-collections-docs/content/collection-creation/01-create.html](https://uidaholib.github.io/digital-collections-docs/content/collection-creation/01-create.html ""smartCard-inline"")
- Update about how Special Collections doesn’t have access to the the drive
  - Prepping",2024-08-09T00:07:41.569Z
date change cougar dave,,2024-07-17T17:41:52.103Z
