name,desc,archived_date
ENEWS VERSO Presentation,- Build out site and slides,2024-11-27T01:04:55.276Z
AVFS 101 Visit,"Presentation sharing ""your history/education/what brought you to Idaho/what you do at UI, what services the Library provides, what events/activities they host, and how students can utilize your resources""",2024-11-06T18:19:54.589Z
Information Landscapes Geolocation,,2024-10-23T20:52:30.082Z
Image Extraction Tool,Record any notes to expand on later,2024-10-18T21:46:36.773Z
Document creating web scraping tool - Trello export tool,,2024-10-18T21:46:33.954Z
Creating Aerial Timelines Short Talk,"- Update banner and slides
- fill out script a bit
- noopener links",2024-10-18T21:43:31.631Z
Create Python tool for handwriting OCR for accessibility,"[https://tesseract-ocr.github.io/tessdoc/tess4/TrainingTesseract-4.00.html](https://tesseract-ocr.github.io/tessdoc/tess4/TrainingTesseract-4.00.html ""smartCard-inline"")

[https://github.com/tesseract-ocr/tessdoc/blob/main/ImproveQuality.md](https://github.com/tesseract-ocr/tessdoc/blob/main/ImproveQuality.md ""smartCard-inline"")

[https://indd.adobe.com/view/db718d34-da0b-40fe-b21a-0d0d86d0b99e](https://indd.adobe.com/view/db718d34-da0b-40fe-b21a-0d0d86d0b99e ""smartCard-inline"")",2024-10-17T19:15:45.892Z
Update slideshow cover for CDIL show n tell,,2024-10-15T17:18:03.371Z
Obsidian scholarly approach workshop,"[keep on truckin](https://docs.google.com/document/d/1-8NBzkitOkZLel1uT80mnZUr-TOJX6cz3xDcC4R4iMs/edit?usp=sharing ""‌"")

[site](https://aweymo-ui.github.io/python_obsidian/ ""‌"")

- build slides
- index on base",2024-10-11T19:49:04.132Z
Institute for Research Design in Librarianship (IRDL) Seven Minute Presentation - Distant Listening Reconfiguration.,,2024-10-05T00:44:19.729Z
Make presentation for analytics workshop,,2024-10-03T16:13:36.940Z
Analytics Workshop,"[https://docs.google.com/document/d/1WlI4sHhIGUFM6WJxl3l_GcEeo73IufOg5en1WXwvHxQ/edit?usp=sharing](https://docs.google.com/document/d/1WlI4sHhIGUFM6WJxl3l_GcEeo73IufOg5en1WXwvHxQ/edit?usp=sharing ""smartCard-inline"")

Outline

- library domains and analytics platform overview (Evan. where we have google analytics, matomo, other sources; GA url tags for tracking; QR codes set up)
- how to get access to library Google Analytics (Evan. I add your google account, where to log in; basic interface orientation)
- analytics data intro (Andrew)
- custom reports intro (Andrew)
- discussion of uses and limitations (all)
- questions and discussion",2024-10-02T23:27:52.949Z
Distant Listening Tech Talk Slides and site modification,- Proof,2024-09-24T18:16:06.208Z
HIST320 Presentation,"- Banner image and slide deck
- [https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e](https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e ""smartCard-inline"")",2024-09-21T02:05:15.802Z
Bumping up the symposium idea to Rochelle for this or next year,,2024-09-17T15:45:30.069Z
Rochelle Renfrew Meeting 08182024,,2024-08-21T17:10:01.580Z
Andrea Dutto Renfrew Meeting,,2024-08-21T17:08:26.200Z
SAH Materials,"- A session title not longer than 65 characters, including spaces and punctuation.
- An abstract of the session (300-word maximum).",2024-06-20T03:33:56.647Z
UCLA - LA - May 17,,2024-05-27T19:55:54.984Z
NW Archivist - Spokane - May 10th,,2024-05-27T19:55:34.125Z
