name,desc,archived_date
Make a presentation around annotation extraction and Obsidian,,2024-12-10T20:22:21.039Z
OpenRefine for Archival Language Standardization Workshop,"- make banner
- run through script
- add this and CALS intro to base
- get a haircut and pick up glasses",2024-11-15T22:37:52.951Z
Information Landscapes Geolocation,,2024-10-23T20:52:30.082Z
Image Extraction Tool,Record any notes to expand on later,2024-10-18T21:46:36.773Z
Document creating web scraping tool - Trello export tool,,2024-10-18T21:46:33.954Z
Creating Aerial Timelines Short Talk,"- Update banner and slides
- fill out script a bit
- noopener links",2024-10-18T21:43:31.631Z
Create Python tool for handwriting OCR for accessibility,"[https://tesseract-ocr.github.io/tessdoc/tess4/TrainingTesseract-4.00.html](https://tesseract-ocr.github.io/tessdoc/tess4/TrainingTesseract-4.00.html ""smartCard-inline"")

[https://github.com/tesseract-ocr/tessdoc/blob/main/ImproveQuality.md](https://github.com/tesseract-ocr/tessdoc/blob/main/ImproveQuality.md ""smartCard-inline"")

[https://indd.adobe.com/view/db718d34-da0b-40fe-b21a-0d0d86d0b99e](https://indd.adobe.com/view/db718d34-da0b-40fe-b21a-0d0d86d0b99e ""smartCard-inline"")",2024-10-17T19:15:45.892Z
Analytics Workshop w/Evan,10112024,2024-10-11T21:26:43.564Z
Obsidian scholarly approach workshop,"[keep on truckin](https://docs.google.com/document/d/1-8NBzkitOkZLel1uT80mnZUr-TOJX6cz3xDcC4R4iMs/edit?usp=sharing ""‌"")

[site](https://aweymo-ui.github.io/python_obsidian/ ""‌"")

- build slides
- index on base",2024-10-11T19:49:04.132Z
Institute for Research Design in Librarianship (IRDL) Seven Minute Presentation - Distant Listening Reconfiguration.,,2024-10-05T00:44:19.729Z
Update CALS presentation,"[https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing](https://docs.google.com/document/d/1ilATSrhjVOFwqfGutkx5KOsV2fLrQj5gS_rr1vikFh4/edit?usp=sharing ""smartCard-inline"")",2024-10-04T19:16:02.183Z
Make presentation for analytics workshop,,2024-10-03T16:13:36.940Z
Distant Listening Tech Talk Slides and site modification,- Proof,2024-09-24T18:16:06.208Z
HIST320 Presentation,"- Banner image and slide deck
- [https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e](https://indd.adobe.com/view/13ff985a-d88a-4301-86a0-a2dc4910247e ""smartCard-inline"")",2024-09-21T02:05:15.802Z
Digital Geolocation Tools for Archival Research,"‌

- Build slides from the same material",2024-09-05T00:07:35.980Z
